CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;13:20:47.964;4.0;1:47.071;21.014;52.793;33.264;140,610
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;13:29:05.838;5.0;8:17.874;21.210;55.067;;30,239
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;13:37:08.633;6.0;8:02.795;;58.038;34.309;31,183
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;13:38:56.637;7.0;1:48.004;21.119;53.497;33.388;139,395
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;13:40:42.266;8.0;1:45.629;20.819;52.065;32.745;142,529
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;13:52:18.452;9.0;9:21.476;;53.654;33.279;26,814
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;13:54:33.774;10.0;2:15.322;20.970;59.172;;111,255
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;14:01:08.814;11.0;6:35.040;;53.895;33.276;38,111
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;14:02:54.299;12.0;1:45.485;20.619;51.911;32.955;142,724
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;14:04:39.192;13.0;1:44.893;20.664;51.479;32.75;143,529
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;14:06:23.651;14.0;1:44.459;20.551;51.027;32.881;144,125
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:09:03.169;1.0;1:48.563;21.919;52.642;34.002;138,677
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:16:19.988;2.0;5:20.151;;52.565;33.905;47,025
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:18:05.969;3.0;1:45.981;20.707;51.616;33.658;142,056
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:19:52.511;4.0;1:46.542;21.467;51.698;33.377;141,308
