"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SSTRAP","SSTRAP Tm"
32 - Matheus Roque - CHA S
100 - Raphael BERNARDES - CHA R
"13:09:16.749","1","1:49.621","137,339","164,3","21.496","67,3","54.128","229,8","33.997","246,6","0.438"
"13:16:55.683","2","5:25.554","46,245","","","65,0","56.075","222,7","35.079","",""
"13:18:43.779","3","1:48.096","139,276","167,4","21.091","68,1","53.495","233,1","33.510","250,0","0.432"
"13:20:33.203","4","1:49.424","137,586","157,4","22.432","68,7","53.011","229,9","33.981","251,2","0.430"
"13:22:21.637","5","1:48.434","138,842","166,5","21.210","68,4","53.228","229,8","33.996","248,3","0.435"
"13:33:57.011","6","9:33.404","26,256","","","66,2","54.993","226,4","34.504","",""
"13:35:44.432","7","1:47.421","140,151","167,6","21.077","69,6","52.348","229,8","33.996","250,6","0.431"
"13:37:31.175","8","1:46.743","141,042","167,2","21.126","70,0","52.044","232,7","33.573","251,7","0.429"
"13:39:18.343","9","1:47.168","140,482","168,9","20.913","69,4","52.462","231,2","33.793","254,1","0.425"
"13:41:05.304","10","1:46.961","140,754","169,9","20.791","69,9","52.120","229,4","34.050","252,9","0.427"
"14:01:32.445","11","6:22.284","39,382","","","65,0","56.091","224,7","34.763","",""
"14:03:19.893","12","1:47.448","140,116","164,5","21.470","69,3","52.589","234,0","33.389","248,3","0.435"
"14:05:07.059","13","1:47.166","140,485","169,8","20.793","69,3","52.586","231,2","33.787","251,2","0.430"
129 - Fernando Arruda - CHA R
"13:10:14.160","1","2:41.416","93,270","","","67,5","54.001","228,6","34.174","",""
"13:18:25.830","2","5:55.556","42,343","10,1","5:49.233","67,4","54.085","","","",""
"13:52:29.429","3","34:03.599","7,367","","","64,5","56.474","229,9","33.980","",""
"13:54:45.098","4","2:15.669","110,970","166,6","21.202","61,9","58.841","","","248,8","0.434"
"14:01:25.481","5","6:40.383","37,602","","","69,2","52.682","227,1","34.398","",""
"14:04:00.544","6","2:35.063","97,091","54,6","1:04.647","64,1","56.794","232,3","33.622","247,7","0.436"
"14:05:49.071","7","1:48.527","138,723","164,1","21.527","68,5","53.182","231,0","33.818","251,2","0.430"
18 - Ricardo Zylberman - CHA R
"13:09:47.438","1","1:59.742","125,730","154,0","22.931","60,9","59.798","211,1","37.013","232,3","0.465"
"13:17:30.171","2","5:29.291","45,720","","","62,3","58.481","214,8","36.361","",""
"13:19:24.401","3","1:54.230","131,797","162,9","21.675","65,0","56.010","213,8","36.545","244,3","0.442"
"13:21:23.014","4","1:58.613","126,927","156,1","22.625","62,7","58.062","206,0","37.926","243,8","0.443"
"13:33:32.967","5","10:04.238","24,916","","","65,3","55.750","222,3","35.135","",""
"13:35:25.249","6","1:52.282","134,084","164,1","21.517","66,8","54.544","215,7","36.221","250,0","0.432"
"13:37:18.144","7","1:52.895","133,356","161,8","21.833","65,4","55.704","220,9","35.358","246,6","0.438"
"13:39:10.043","8","1:51.899","134,543","166,6","21.196","67,1","54.304","214,6","36.399","249,4","0.433"
"13:41:02.547","9","1:52.504","133,819","165,4","21.346","65,0","56.080","222,7","35.078","251,7","0.429"
"13:52:58.233","10","9:40.724","25,925","5,7","10:21.872","63,8","57.075","212,6","36.739","",""
